"Status","Category","Setting","PreviousValue","CurrentValue"
"Added","Unknown","Microsoft - Edgev115~policy~microsoft - Edge - Composeinlineenabled","","Disabled"
"Added","Unknown","Microsoft - Edgev105~policy~microsoft - Edge - Microsofteditorproofingenabled","","Disabled"
